CompanyID,Name,Saldo
SUPP-04502,CASH,45287913188.5800
SUPP-03436,"GUNUNG KAWI, PT",49204566.0000
SUPP-04207,"TETAP MAJU JAYA, PT",24287000.0000
SUPP-01451,HARAPAN MITRA SEJATI,83370000.0000
SUPP-03350,"INDO BERLIAN LOGISTIK, PT",1084508400.0000
SUPP-03722,"UTAMA BINTAN SUKSES, CV Bhakti Praja",974015300.0000
SUPP-03355,"CHLONINDO PERTAMA INDAH, PT",176900000.0000
SUPP-03380,"DWI KARYA CAKRAWALA BINTAN, PT",1311166500.0000
SUPP-04605,"TRIO VALENTIN, CV",1110170268.0000
SUPP-03665,"Kharisma Petro Gemilang, PT",233475000.0000
SUPP-02272,LIS COMPUTER,7800000.0000
SUPP-04500,BPJS KETENAGAKERJAAN,21553000.0000
SUPP-06673,SAPARUDIN,28275000.0000
SUPP-00335,"MARDIKA GRIYA PRASTA, PT",2829372200.0000
SUPP-04818,TOKO SEMANGAT BARU,26360000.0000
SUPP-04278,"NIRO CERAMIC SALES MEDAN INDONESIA, PT",28779192.0000
SUPP-01495,"GAPURA GRAHA SEJAHTERA, PT",43200000.0000
SUPP-02695,"MULTI KARYA MAJU SENTOSA, PT",4377840.0000
SUPP-04922,"GRAND DUNAMOS INDONESIA, PT",4624000.0000
SUPP-04851,"GRATIA SELARAS UTAMA, PT",40000.0000
SUPP-00064,"CIPTA MORTAR UTAMA, PT",415456500.0000
SUPP-00247,STAFF PROYEK,1900000.0000
SUPP-03830,"SAKA PARFIMA, PT",1692990428.0000
SUPP-01261,"POWER BLOCK INDONESIA, PT",262520000.0000
SUPP-03341,"THE MASTER STEEL, MFC, PT Jakarta Pusat",635787406.0000
SUPP-01766,"CAHAYA BENTENG MAS, PT",266304230.0000
SUPP-02078,TOKO ISTANA TEKNIK,152419200.0000
SUPP-02092,"MAHA SRI DANA, CV",14813475.0000
SUPP-03961,"KARYA SAROHA BALI, CV",36238142.0000
SUPP-03204,"ANUGRAH MITRA JAYA SEJATI, CV",4900000.0000
SUPP-03655,"PAMINDO INDONESIA, UD",6950000.0000
SUPP-00869,"JAYA ABADI KARYA UTAMA, PT",5217000.0000
SUPP-03401,"GOLDEN BATAM RAYA, PT",825000.0000
SUPP-03475,"ASIA PERTAMA ABADI, PT",9000000.0000
SUPP-03388,TOKO BANGUN JAYA,2600000.0000
SUPP-03541,DAVID,21379500.0000
SUPP-03353,SUNG MAHKOTA,142281000.0000
SUPP-03354,"CITRA SERAYA, PT",9908800.0000
SUPP-03392,"BOWO, BP.",3250000.0000
SUPP-03394,"BINTAN MULIA, CV",2300000.0000
SUPP-04519,EKO RAKARI,84000000.0000
SUPP-04204,"LION METAL WORKS Tbk, PT",14080350.0000
SUPP-04454,"PANDAWA MEGA ERLANGGA, CV",56250000.0000
SUPP-04763,"DHARMA KARYA BARELANG, PT",61790000.0000
SUPP-04932,"PILAR SENTOSA JAYA, PT",29925000.0000
SUPP-05317,BENGAWAN SOLO,18816000.0000
SUPP-05247,"MASARI MAWARNA BHAKTI, PT",106877250.0000
SUPP-06503,AGUS WIDODO (material alam),43572000.0000
SUPP-05574,BUMI KARYA SENTOSA,1800000.0000
SUPP-05682,"REXINDO KARYA ABADI, PT",330800000.0000
SUPP-05749,"KANDURA CIPTA SEJAHTERA, PT",104200000.0000
SUPP-06422,SUMBER JAYA GUNUNG SAHARI,24630000.0000
SUPP-05481,"GEOSINTETIK MANDIRI INDONESIA, PT",1.0000
SUPP-06309,"BAYU PERMANA, CV",55977600.0000
SUPP-02159,"BRAM BESI SEJAHTERA, CV",18014999.0000
SUPP-03063,"ISTANA TEKINDO ABADI, CV",161214994.0000
SUPP-03874,"EDI JAYA AGUNG, PT",1081430.0000
SUPP-00161,GROUP TENAGA HARIAN,1390000.0000
SUPP-02038,I MADE SOMAYANA,17371673.0000
SUPP-00385,INDEPENDENT TECHNIC,150000.0000
SUPP-00131,KARUNIA TEKNIK,22385500.0000
SUPP-00875,KARYA MANDIRI,64985700.0000
SUPP-02118,MENDIAN ELECTRONIC,4134500.0000
SUPP-00143,MUSTIKA SARI JAYA,11419999.0000
SUPP-01210,"ADI JAYA BETON, PT",620097720.0000
SUPP-03576,"BALI ANUGRAH PERKASA, PT",297960340.7300
SUPP-02142,"BALI INDORAYA, PT",668910878.0000
SUPP-03203,"CITRA WARNA JAYA ABADI, PT",22879998.0000
SUPP-02846,"DARMACO KARYA MAKMUR, PT",50542866.0000
SUPP-02261,"DARMACO UTAMA, PT",33763425.0000
SUPP-02555,"JAYA PRATAMA GROSERINDO, PT",97958998.0000
SUPP-02918,"NUSAPRINT DOKUMEN SOLUSIND, PT",2771695.0000
SUPP-02204,"TRATAS INTI BANGUNAN, PT",50641553.0000
SUPP-04032,SURYA JAYA,13309000.0000
SUPP-00301,"CEMARA, UD",2500000.0000
SUPP-00197,"LECI, UD",454621643.0000
SUPP-01510,"UNION METAL, PT",42620548.0000
SUPP-03550,UNIT PRODUKSI PT. SANUR JAYA UTAMA CAB. BALI,1777016232.0000
SUPP-00476,YOKO MOTOR,30139000.0000
SUPP-00330,"SRI REJEKI, CV",7369500.0000
SUPP-04342,"PIONIR ANUGRAH KREASI, CV",552568029.0000
SUPP-04779,"VENDORIN PRODUKSI INDONESIA, CV",6300000.0000
SUPP-00342,"DIVISI PERALATAN, Denpasar",147720528.0000
SUPP-05420,KOPERASI TUNAS SEJAHTERA,10535500.0000
SUPP-05366,"ASURANSI MSIG INDONESIA, PT",68243350.0000
SUPP-06664,"SURYA WIJAYA REKONTAMA, PT",223814711.0000
SUPP-02413,WAYAN KARI,15000000.0000
SUPP-06824,"A. A NGURAH GEDE MAHESA, SE",31360000.0000
SUPP-02656,ADI SANTOSO RENTAL,10886570.0000
SUPP-00609,"AKR CORPORINDO TBK, PT",210900048.0000
SUPP-04137,"ANEKA LISTRIK, CV",20821100.0000
SUPP-02260,BALI MOTOR,9700000.0000
SUPP-03112,"BERCA MANDIRI PERKASA,",13844475.0000
SUPP-03295,"BINA KARYA RENTAL, CV",139169612.0000
SUPP-02166,BINTANG DIESEL,6390000.0000
SUPP-00120,"CAHAYA SURYA BALI INDAH, PT",132323716.0000
SUPP-05535,"ARTHADEWA CHANDRA, CV",1975000.0000
SUPP-02980,"DAYA PRIMA SINERGI, CV",19318182.0000
SUPP-03108,"PRIMA AUTO SEJAHTERA BAGUS, CV",27526360.0000
SUPP-05922,I MADE SANTIKA PUTRA,114023000.0000
